0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.5007929,0.40004763,0.17847665,0.39784583,-0.21549593,0.040828217,-0.33590594,-0.3868426,0.45788637,0.9208949,0.10010651,0.5600101,-0.40916923,-0.51417017,-0.28939807,0.086871356,-0.29475614,-0.46200117,0.33528972,-0.70562714,-0.8034803,0.78673655,0.016742209,0.53571373,0.50518954,-0.7113182,0.37238076,0.021354578,0.11010752,-0.7634997,-0.67635775,0.67709845
-0.052338082,0.3394932,-0.08120682,-0.3734626,-0.056098267,0.24419974,0.030630505,-0.51548046,0.18522285,0.67598677,0.034419633,0.45362243,-0.7181706,0.1736867,0.67687196,0.030663418,-0.4268243,-0.12573105,-0.13184215,-0.44701362,-0.65025914,0.179465,-0.09203743,0.52996045,0.42904583,0.2414968,0.101197086,-0.64169145,0.2885918,-0.28782582,-0.5207036,0.4124726
-0.87111694,0.4847239,0.8487044,0.045453176,0.07195277,-0.23809731,0.17950599,-0.032286618,-0.069550276,0.6476471,-0.8574658,0.80432934,-0.6842811,-0.07786656,-0.69935155,-0.44702545,0.9999022,-1.1070414,-0.2938126,-0.61431605,-0.9913488,0.57641995,-0.12329499,0.48665118,0.4111602,-0.44487417,0.588175,-0.052671272,-0.22365235,-1.0343679,-1.1204998,-0.12812926
-0.48090696,0.31768367,-0.013424675,-0.11721435,0.22116892,0.13455246,0.4333882,0.29028323,-0.21180166,0.89981437,-0.43860796,0.7169459,-1.1099094,0.5297882,-0.3296776,-0.24272473,0.42032433,-0.33626366,-0.27413216,-0.6789415,-0.3104017,0.4559022,-0.28653336,-0.29028615,-0.19775616,0.13025683,0.56620824,-0.7589981,0.1360039,-0.37311623,-0.4246099,0.37340808
-0.0023945447,0.33183354,0.8733237,-0.27177817,-0.60298437,0.67295074,0.16252346,-0.024100393,0.67654544,1.1509124,-0.033215206,-0.076545306,-1.3176513,1.0952197,0.25009707,0.012938228,-0.052001875,0.08830756,0.3406879,-0.5670132,-0.6014053,0.44387653,-0.2721057,-0.32551473,0.3205137,0.9624422,0.6397081,-0.56194305,0.7886453,-0.20982836,-0.53953636,-0.09982402
0.35322022,-0.40242222,1.2381067,0.3756633,-0.5127024,1.772449,-0.35600007,1.1357516,0.6921525,1.0163769,0.8004437,0.32178262,-0.6898809,1.1456424,0.38871607,-0.5913109,0.4296632,-0.061382294,0.30363283,-0.953034,0.49919558,1.147599,-0.5142337,0.07352704,0.27306592,-0.45985284,-0.03599157,-1.3879304,0.40958074,0.23829924,-0.7566235,0.7862727
-0.16783972,0.29406992,0.54596853,0.25855437,0.0020961266,-0.035604578,0.06695287,0.3348011,0.26984742,0.9820531,-0.05694249,0.42763567,-0.20662658,-0.3544712,-0.65735966,-0.0073121465,0.5294958,-0.46336636,-0.2057816,-0.8765483,-1.2999228,0.785731,-0.1467668,0.42772374,0.6102645,-0.41172275,0.4299667,0.33549953,-0.17662089,-0.76950353,-0.5141605,0.6648746
-0.18408062,0.0899327,-0.80345553,0.09410296,-0.015197545,-0.12521367,-0.26941687,-0.6853215,0.047273275,0.62021506,0.29227376,0.65909165,0.17300399,-0.9263496,0.08873143,0.7634875,0.015578921,0.16773914,-0.22750813,-0.5859945,-0.84800196,0.7424913,-0.010245591,0.26179543,0.66849375,-0.6879224,-0.28018132,-0.10119925,0.11876351,-1.0500425,-0.538927,1.1280755
-0.089707695,0.43596753,1.6743941,-0.42531648,-0.3800693,1.2222524,0.7866885,0.2846649,0.56450015,1.0040323,-0.44354475,-0.24770863,-0.788646,1.1421306,-0.9841473,0.084860824,1.3266823,-1.7775631,-0.23498261,-1.076079,-1.0712829,0.4565777,-0.3404937,-0.4839407,-0.21823853,-0.32625267,1.34964,-0.733001,-0.25513807,0.080916606,-0.50386715,-1.2343718
-0.2494815,0.086292945,0.25421128,0.04200673,0.1702327,0.041513283,0.029871918,0.12010145,-0.19792187,0.3938855,-0.37687066,0.69511575,-0.29193303,0.23030312,-0.102828644,-0.32257274,0.4872202,-0.61903775,-0.33612505,-0.45196173,-0.71104604,0.4229904,0.06058055,0.12515388,0.17025578,-0.17885183,0.15656488,-0.30332804,-0.28380212,-0.694987,-0.4010738,0.08735936
-0.28276917,0.2746009,0.30495957,-0.031030064,0.037711654,0.028701097,-0.038248,0.14588465,0.16580947,0.9218056,-0.009021592,0.6040982,-0.50425446,-0.29429284,-0.28831908,-0.15988392,0.2964094,-0.25663468,0.024427013,-0.6953769,-0.58381766,0.5393742,-0.041813623,0.31951204,0.41678658,-0.1948391,0.29792562,-0.02460281,-0.095631264,-0.45306453,-0.7304217,0.5621003
0.6359753,-0.2223732,-0.022042016,1.3061304,-0.16355576,0.87012476,-1.0099994,1.6266135,0.19176824,1.520783,1.3861827,0.4754546,-0.40741134,0.30617762,1.591495,-0.22878414,-0.049858626,0.34936976,-0.2876153,-1.1626956,-0.77767015,1.8759524,-1.0365905,0.5674429,1.0164566,-0.35194543,-0.95193034,0.4256514,-0.7264332,-1.0638891,-0.7344877,2.1194966
0.03929082,0.13103028,0.15139651,0.29602745,-0.093046546,0.4492904,-0.3686687,0.043842424,-0.24852939,1.0118154,0.22482167,0.2174617,-0.41682923,0.38041952,0.7076165,0.23177819,0.29580078,0.12518011,-0.19949134,-0.82680035,-0.9749686,0.98595333,-0.65221125,0.09261209,0.8236613,0.33074644,0.07600381,0.3506088,-0.4465922,-1.006726,-0.52795357,0.33275244
-0.5396436,0.29656735,0.11627918,0.014694224,0.287289,0.071074314,0.09732646,0.03891367,-0.03894053,0.70296735,-0.15858151,0.67512506,-0.37060246,-0.22916417,-0.23654659,-0.30801606,0.5840792,-0.22938947,0.0464828,-0.71153325,-0.8541103,0.8548917,-0.38091645,0.52056116,0.77514833,-0.55645365,0.16555111,0.11802056,-0.40638128,-0.7108052,-0.8774068,0.14008458
